Azerbaijan,AZE,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.6615,,,,,,,,93.87582,,97.81139,97.61982,97.80078,97.95918,98.07692,98.16043,98.20757,98.26912,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,98.26912,2016
Azerbaijan,AZE,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.61058,,,,,,,,97.74648,,98.8429,98.73188,98.55921,98.4862,98.57328,98.53618,98.55734,98.61513,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,98.61513,2016
Azerbaijan,AZE,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.39402,,,,,,,,99.99549,,99.86278,99.89005,99.89922,99.89183,99.89847,99.89698,99.90272,99.90467,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.90467,2016
Azerbaijan,AZE,"Literacy rate, population 25-64 years, female (%)",UIS.LR.AG25T64.F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.104,,,,,,,,100.0,,99.82975,99.86459,99.86033,99.84447,99.85213,99.84811,99.85127,99.85409,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.85409,2016
Azerbaijan,AZE,"Literacy rate, population 25-64 years, male (%)",UIS.LR.AG25T64.M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.71278,,,,,,,,99.99053,,99.8979,99.91711,99.94059,99.94216,99.94767,99.94887,99.95732,99.95821,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.95821,2016
Azerbaijan,AZE,"Youth literacy rate, population 15-24 years, both sexes (%)",SE.ADT.1524.LT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.8861,,,,,,,,100.0,,99.9513,99.9506,99.9441,99.93675,99.95247,99.95699,99.94278,99.94048,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.94048,2016
Azerbaijan,AZE,"Youth literacy rate, population 15-24 years, female (%)",SE.ADT.1524.LT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.90149,,,,,,,,100.0,,99.94579,99.93333,99.93176,99.91767,99.9267,99.93638,99.92011,99.91648,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.91648,2016
Azerbaijan,AZE,"Youth literacy rate, population 15-24 years, male (%)",SE.ADT.1524.LT.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.87034,,,,,,,,100.0,,99.95678,99.96745,99.95603,99.955,99.97687,99.97624,99.96367,99.96238,,,,,,,,,,,,,,,,,,,,Europe & Central Asia,99.96238,2016
Bahrain,BHR,"Elderly literacy rate, population 65+ years, both sexes (%)",UIS.LR.AG65,,,,,,,,,,,,12.7593803405762,,,,,,,,,,19.4496097564697,,,,,,,,,,42.33926,,,,,,,,,49.28206,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,49.28206,2010
Bahrain,BHR,"Elderly literacy rate, population 65+ years, female (%)",UIS.LR.AG65.F,,,,,,,,,,,,4.59708023071289,,,,,,,,,,8.5659704208374,,,,,,,,,,27.64228,,,,,,,,,31.90705,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,31.90705,2010
Bahrain,BHR,"Elderly literacy rate, population 65+ years, male (%)",UIS.LR.AG65.M,,,,,,,,,,,,20.1920700073242,,,,,,,,,,28.8255596160889,,,,,,,,,,52.99963,,,,,,,,,67.20981,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,67.20981,2010
Bahrain,BHR,"Literacy rate, population 25-64 years, both sexes (%)",UIS.LR.AG25T64,,,,,,,,,,,,64.23999,,,,,,,,,,82.69544,,,,,,,,,,86.31455,,,,,,,,,95.22473,,,,,,,,,,,,,,,,,,,,,,,,,,Middle East & North Africa,95.22473,2010
